LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,FDISTOCK,INWARD,MLN_USD,A,2005,247738.8114,
AUS,FDISTOCK,INWARD,MLN_USD,A,2006,301968.834,
AUS,FDISTOCK,INWARD,MLN_USD,A,2007,391967.8927,
AUS,FDISTOCK,INWARD,MLN_USD,A,2008,307840.6098,
AUS,FDISTOCK,INWARD,MLN_USD,A,2009,439445.6405,
AUS,FDISTOCK,INWARD,MLN_USD,A,2010,527096.2496,
AUS,FDISTOCK,INWARD,MLN_USD,A,2011,554930.9364,
AUS,FDISTOCK,INWARD,MLN_USD,A,2012,615116.0129,
AUS,FDISTOCK,INWARD,MLN_USD,A,2013,568854.6099,
AUS,FDISTOCK,INWARD,MLN_USD,A,2014,562985.5643,
AUS,FDISTOCK,INWARD,MLN_USD,A,2015,537756.9957,
AUS,FDISTOCK,INWARD,MLN_USD,A,2016,576768.4515,
AUS,FDISTOCK,INWARD,MLN_USD,A,2017,662271.2737,
AUS,FDISTOCK,OUTWARD,MLN_USD,A,2005,205360.2348,
AUS,FDISTOCK,OUTWARD,MLN_USD,A,2006,264651.9538,
AUS,FDISTOCK,OUTWARD,MLN_USD,A,2007,341250.7718,
AUS,FDISTOCK,OUTWARD,MLN_USD,A,2008,244302.1483,
AUS,FDISTOCK,OUTWARD,MLN_USD,A,2009,364581.0908,
AUS,FDISTOCK,OUTWARD,MLN_USD,A,2010,449768.2691,
AUS,FDISTOCK,OUTWARD,MLN_USD,A,2011,418813.7315,
AUS,FDISTOCK,OUTWARD,MLN_USD,A,2012,476541.4629,
AUS,FDISTOCK,OUTWARD,MLN_USD,A,2013,456976.9504,
AUS,FDISTOCK,OUTWARD,MLN_USD,A,2014,446442.7493,
AUS,FDISTOCK,OUTWARD,MLN_USD,A,2015,388972.7479,
AUS,FDISTOCK,OUTWARD,MLN_USD,A,2016,401287.9884,
AUS,FDISTOCK,OUTWARD,MLN_USD,A,2017,460623.9763,
AUS,FDISTOCK,INWARD,PC_GDP,A,2005,32.55696563,
AUS,FDISTOCK,INWARD,PC_GDP,A,2006,36.90494822,
AUS,FDISTOCK,INWARD,PC_GDP,A,2007,39.78806377,
AUS,FDISTOCK,INWARD,PC_GDP,A,2008,29.12370405,
AUS,FDISTOCK,INWARD,PC_GDP,A,2009,43.30214639,
AUS,FDISTOCK,INWARD,PC_GDP,A,2010,40.56261772,
AUS,FDISTOCK,INWARD,PC_GDP,A,2011,35.87863962,
AUS,FDISTOCK,INWARD,PC_GDP,A,2012,38.66933262,
AUS,FDISTOCK,INWARD,PC_GDP,A,2013,36.86162529,
AUS,FDISTOCK,INWARD,PC_GDP,A,2014,38.44857223,
AUS,FDISTOCK,INWARD,PC_GDP,A,2015,43.06004744,
AUS,FDISTOCK,INWARD,PC_GDP,A,2016,43.97119177,
AUS,FDISTOCK,INWARD,PC_GDP,A,2017,46.76708907,
AUS,FDISTOCK,OUTWARD,PC_GDP,A,2005,26.98772173,
AUS,FDISTOCK,OUTWARD,PC_GDP,A,2006,32.34428706,
AUS,FDISTOCK,OUTWARD,PC_GDP,A,2007,34.63984608,
AUS,FDISTOCK,OUTWARD,PC_GDP,A,2008,23.11255643,
AUS,FDISTOCK,OUTWARD,PC_GDP,A,2009,35.92513456,
AUS,FDISTOCK,OUTWARD,PC_GDP,A,2010,34.61185386,
AUS,FDISTOCK,OUTWARD,PC_GDP,A,2011,27.07808477,
AUS,FDISTOCK,OUTWARD,PC_GDP,A,2012,29.95782901,
AUS,FDISTOCK,OUTWARD,PC_GDP,A,2013,29.61198313,
AUS,FDISTOCK,OUTWARD,PC_GDP,A,2014,30.48938976,
AUS,FDISTOCK,OUTWARD,PC_GDP,A,2015,31.14638231,
AUS,FDISTOCK,OUTWARD,PC_GDP,A,2016,30.5930587,
AUS,FDISTOCK,OUTWARD,PC_GDP,A,2017,32.52752064,
AUT,FDISTOCK,INWARD,MLN_USD,A,2005,83770.73062,
AUT,FDISTOCK,INWARD,MLN_USD,A,2006,113347.8204,
AUT,FDISTOCK,INWARD,MLN_USD,A,2007,164585.6028,
AUT,FDISTOCK,INWARD,MLN_USD,A,2008,150658.3159,
AUT,FDISTOCK,INWARD,MLN_USD,A,2009,174486.3852,
AUT,FDISTOCK,INWARD,MLN_USD,A,2010,166477.8193,
AUT,FDISTOCK,INWARD,MLN_USD,A,2011,158862.7248,
AUT,FDISTOCK,INWARD,MLN_USD,A,2012,171696.5699,
AUT,FDISTOCK,INWARD,MLN_USD,A,2013,186590.8151,
AUT,FDISTOCK,INWARD,MLN_USD,A,2014,182784.9945,
AUT,FDISTOCK,INWARD,MLN_USD,A,2015,165845.4001,
AUT,FDISTOCK,INWARD,MLN_USD,A,2016,156671.2343,
AUT,FDISTOCK,INWARD,MLN_USD,A,2017,202992.3243,
AUT,FDISTOCK,INWARD,MLN_USD,A,2018,208560.7969,
AUT,FDISTOCK,OUTWARD,MLN_USD,A,2005,75494.99795,
AUT,FDISTOCK,OUTWARD,MLN_USD,A,2006,109893.3228,
AUT,FDISTOCK,OUTWARD,MLN_USD,A,2007,155947.2987,
AUT,FDISTOCK,OUTWARD,MLN_USD,A,2008,154769.659,
