Country Name,Country Code,Indicator Name,Indicator Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,65.05811016,72.10282734,99.64754854,103.3849507,108.1282107,112.2147359,119.1874346,126.1643093,129.636369,
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.1106157,0.84456353,2.426528361,4.677582611,9.534904581,17.22510581,28.49300324,36.97858479,35.00312672,45.81362616
Angola,AGO,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.799113349,1.931409682,3.944952979,8.290372521,15.15947895,23.73331666,31.21990351,36.01900945,40.26060095,49.84677338
Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,27.22166012,35.27876478,40.56791669,49.57363751,62.35298419,76.54705112,61.9324483,82.86919686,91.32805273,105.852915
Andorra,AND,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,46.81009008,70.90951327,76.5515975,81.8593328,85.1974862,76.80204151,76.55672414,76.42281236,77.5556845,77.66725972
Arab World,ARB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,8.378907927,11.39056777,16.53201764,26.29034195,38.09822498,51.49150472,61.61889079,74.50589449,87.91762277,96.84512606
United Arab Emirates,ARE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,69.79668429,80.07503909,90.52608165,98.8212871,104.134185,125.3316751,131.9945294,134.7906603,127.7898753,131.0796167
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,17.42684502,20.58984504,35.10441866,56.96774563,80.19976545,101.8079595,116.0393921,129.6422074,139.580018,146.9554555
Armenia,ARM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2.351665042,3.789979363,6.775340585,10.66807457,42.58388328,63.98416023,49.59385999,75.88054674,134.3387369,111.6347151
American Samoa,ASM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,3.446174678,3.529174509,3.770044068,,,,,,,
Antigua and Barbuda,ATG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,48.79621943,58.13366961,67.21768572,105.5668078,133.2184659,133.7455073,159.9494127,155.5403131,190.8142864,197.2012145
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,65.30467336,73.10883938,82.89884796,91.28509793,96.26672665,101.6430022,103.6926101,102.0649721,101.558682,105.5506209
Austria,AUT,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,82.8086898,88.96932087,97.26408257,104.9838556,112.0170885,119.2243632,129.6644309,136.5634805,145.5537959,154.0495234
Azerbaijan,AZE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,9.59519327,12.64256976,17.23910888,26.25721649,38.5103566,51.7981904,74.2246006,86.92047006,100.7489875,110.6472854
Burundi,BDI,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.775643251,0.926307331,1.41004387,2.077432001,2.628863954,3.434147175,5.914077869,10.96434153,19.34193155,21.37194943
Belgium,BEL,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,78.16562364,82.59725088,87.13361692,91.0666428,92.72939576,100.3790486,105.2227353,108.4282234,111.110074,113.456517
Benin,BEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2.998741398,3.140393229,5.926732425,7.469934761,12.84824429,24.26760773,41.68562644,56.27180898,76.90743352,82.07742005
Burkina Faso,BFA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.903051305,1.88147871,3.038539606,4.720289854,7.351161053,13.03701419,20.58683876,25.25328744,36.57655001,47.76857082
Bangladesh,BGD,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.81145496,1.012674358,2.030536864,6.473166692,13.57566319,24.0921838,30.93465762,35.19574195,46.02655537,56.51967967
Bulgaria,BGR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,33.02147316,44.8581374,61.07108769,81.24044323,108.1562445,130.6309287,138.6083388,139.8916681,137.3728082,141.9647632
Bahrain,BHR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,52.91329885,56.90310103,78.29953582,86.2723862,94.68029607,107.7284035,129.2597347,118.3024549,126.2833841,132.5078179
"Bahamas, The",BHS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,39.57583046,39.03439158,58.32878637,70.11380322,76.42349856,110.8509762,104.180912,102.6338371,120.6892957,83.09462759
Bosnia and Herzegovina,BIH,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,19.91760891,28.56833006,37.39023547,42.34334246,50.13565537,65.12262457,84.67785091,87.18664496,83.93621649,86.6192684
Belarus,BLR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,4.746908015,11.5504996,23.28555917,42.87243539,62.62554662,73.41373333,85.98460465,102.6825392,109.6843993,113.5904037
Belize,BLZ,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,19.7154487,22.41922613,27.12438156,33.82663848,40.50403496,39.56659142,52.15775871,51.4159953,60.22408703,67.34769272
Bermuda,BMU,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,45.69270135,60.65844745,74.07407407,79.56895121,90.71971984,104.3415143,119.8222384,129.4271706,134.8850724,
Bolivia,BOL,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,11.70484697,14.35963863,19.85644786,26.22748856,30.61209654,34.04750504,51.82969543,65.39740233,71.44577498,81.79095882
