Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Aruba,ABW,"Foreign direct investment, net inflows (BoP, current US$)",-266927374.3,332513966.5,159776536.3,-105698324,-207798005.9,220316139.7,-471005586.6,18882681.56,-10614525.14,186759776.5,488156424.6
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",680000,50000000,57800000,186900000,271000000,238000000,188690000,40353040,56107246.5,190774432,52173421
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182,-3023770966
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",207300000,135000000,178036400.7,341285112.5,262479012.6,325138316.8,652275603.7,1253058936,1344156095,1090111755,1048087029
Andorra,AND,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,,
Arab World,ARB,"Foreign direct investment, net inflows (BoP, current US$)",6218877916,5758421600,14595438979,21263905251,46007410075,69410959613,81832690758,88751293580,76654441612,70001307553,44063839739
United Arab Emirates,ARE,"Foreign direct investment, net inflows (BoP, current US$)",1183840000,95300000,4255956433,10003500000,10899931926,12805990470,14186521443,5062972005,1134288135,8796769641,7152095826
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",2166136830,2148910000,1652010000,4124710000,5265250000,5537340000,6473150000,9725560000,4017158925,11332718626,10839930945
Armenia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",69868500,110725325.6,122852992.7,247140608.5,292073220.2,466531991.9,667671562.1,943733059.5,760040745.9,529321391.6,653219756.5
American Samoa,ASM,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,,
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (BoP, current US$)",98452222.22,65865064.81,166321143.7,80366585.19,220963374.1,358820163.7,338204733.3,158783774.4,80646652.59,96679207.78,65160596.3
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",10717133151,14656321801,8985246030,42907672820,-25093141435,30551100657,44440090038,45160024271,28683266148,35210733743,65554890650
Austria,AUT,"Foreign direct investment, net inflows (BoP, current US$)",5905880645,318132393.3,7098252090,3892054627,81287916302,10497447196,68885359636,6310797391,14293213431,-22005597161,22974390293
Azerbaijan,AZE,"Foreign direct investment, net inflows (BoP, current US$)",819579000,2024577000,4007330000,4719107000,4476396000,4485966000,4594234000,3986807000,2900030000,3352997000,4485120000
Burundi,BDI,"Foreign direct investment, net inflows (BoP, current US$)",-11440.9127,,,44690.7076,584701.6926,31593.77819,500245.0931,3833208.348,348404.5346,780582.0036,3354999.181
Belgium,BEL,"Foreign direct investment, net inflows (BoP, current US$)",,18080576796,34543942055,44415185590,33683830158,58827696333,96587921127,1.90543E+11,86527976139,1.1149E+11,1.58029E+11
Benin,BEN,"Foreign direct investment, net inflows (BoP, current US$)",16724905.83,-19304487.41,10614240.65,-40701529.97,-8785364.695,-12352499.85,139006086.8,48016408.32,-18732013.56,53454932.99,161091309
Burkina Faso,BFA,"Foreign direct investment, net inflows (BoP, current US$)",9164593.586,16063399.56,30831022.58,3829373.785,32254080.61,83774772.55,21683121.76,33056780.41,56426881.77,38832813.08,143657274.8
Bangladesh,BGD,"Foreign direct investment, net inflows (BoP, current US$)",78527040.08,52304931.04,268285231.8,448905400.7,760504265.8,456523167.7,651029738.1,1328422987,901286583.1,1232258247,1264725163
Bulgaria,BGR,"Foreign direct investment, net inflows (BoP, current US$)",812942202,904659791.1,2096788700,3072550962,4098122931,7874476255,13875270457,10296720634,3896664559,1842900000,2103810000
Bahrain,BHR,"Foreign direct investment, net inflows (BoP, current US$)",80358858.37,216986881.6,516700276.4,865308118.6,1048601306,2914659868,1756312515,1793998355,257149561.4,155771009.2,780851063.8
"Bahamas, The",BHS,"Foreign direct investment, net inflows (BoP, current US$)",102370000,152790000,190200000,273600000,563414700,706380000,713350000,860156197,663960000,871970000,666621000
Bosnia and Herzegovina,BIH,"Foreign direct investment, net inflows (BoP, current US$)",118495219.8,267769569,381784637.4,889597294.5,623812851.6,845962876.4,1841972230,1004852660,138511019.7,443840207.1,471610992.2
Belarus,BLR,"Foreign direct investment, net inflows (BoP, current US$)",95800000,247100000,171800000,163800000,306600000,357100000,1807300000,2187900000,1876500000,1393400000,4002400000
Belize,BLZ,"Foreign direct investment, net inflows (BoP, current US$)",61174888.87,25461176.88,-10924755.75,111496166.4,126908465.9,108828544.6,140373737.3,169668449.5,108840086.4,96449877.08,95348525.19
Bermuda,BMU,"Foreign direct investment, net inflows (BoP, current US$)",41800000,5400000,12900000,831600000,43700000,-88170000,617153591.8,171529641.6,-70747817.17,222710475.9,-257865988.6
Bolivia,BOL,"Foreign direct investment, net inflows (BoP, current US$)",705756000,676543000,197400000,65430000,-238620000,280763457,366294241.5,512335605.2,423040000,621997989.5,858941070.4
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",23225846372,16586600193,10123013671,18181190855,15459981604,19378093068,44579492464,50716402711,31480932200,82389933624,1.02427E+11
Barbados,BRB,"Foreign direct investment, net inflows (BoP, current US$)",18550000,17400000,58250000,-12100000,238261395.9,342244377.2,451704577,462037883.8,458155604.1,668827625.3,387635239.9
Brunei Darussalam,BRN,"Foreign direct investment, net inflows (BoP, current US$)",60694643.66,229671955.7,123820911.1,113205867,175068516.6,87839128.31,257635717.5,222184549.5,325586827.8,480722547,691170274.5
Bhutan,BTN,"Foreign direct investment, net inflows (BoP, current US$)",,2425411.898,3370306.526,8859907.539,6210884.354,6122702.143,73855769.76,3144001.019,18299707.23,75274009.03,31141614.86
Botswana,BWA,"Foreign direct investment, net inflows (BoP, current US$)",30680473.55,407997828.6,418040911.9,390889365.3,420853645.9,486912042.1,494635511.7,520918009.9,208699416.1,218380384.2,1371087724
Central African Republic,CAF,"Foreign direct investment, net inflows (BoP, current US$)",5183898.81,5644286.559,11300000,15100000,10100000,34670000,56750000,117110000,42280000,61520000,36908455.89
