Country Name,Country Code,Indicator Name,Indicator Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Aruba,ABW,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,4.527475821,2.098111443,2.170962371,3.332795351,2.945295531,5.949807039,5.072878143,1.727072277,-0.677053973,3.107300649
Afghanistan,AFG,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,11.65523822,11.27143207,10.91277354,7.199751293,22.52775621,2.096288748,-2.163404438,3.814630326,16.59334672
Angola,AGO,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,142.4782,93.92685444,33.44017865,42.3755606,17.11809761,4.30841553,19.3699206,-16.76108205,31.6891692,31.77154279
Albania,ALB,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,3.644149917,5.197105399,3.156943939,3.303491113,2.480665739,4.389899684,4.117180914,2.422592786,4.493165702,2.314779211
Andorra,AND,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,3.400407853,2.879863449,3.350368553,3.099596888,3.200492427,3.869810711,1.980073056,-1.38E-05,1.599942786,2.499867696
Arab World,ARB,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,
United Arab Emirates,ARE,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,3.770839549,4.072406796,8.501422059,16.52601688,11.96242797,12.53396067,18.53335308,-15.18297988,12.49017594,13.16538942
Argentina,ARG,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,30.55520405,10.49570302,18.36335425,10.3175112,13.74105249,14.93992502,23.17116498,15.37764937,20.91512427,23.70347218
Armenia,ARM,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2.369787814,4.561098398,6.309532724,3.239836249,4.619857664,4.232770383,5.989562359,2.556935053,7.768715484,4.281549998
American Samoa,ASM,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,1.701221779,-3.366533814,-1.361674647,2.895669461,2.819807428,11.17476097,25.75488455,-15.4185022,-0.639031235
Antigua and Barbuda,ATG,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,0.701495987,-0.963104283,1.641424974,4.46041552,0.408265975,3.738825165,4.38021371,1.788009653,1.440233795,1.199384563
Australia,AUS,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2.860340657,3.11355513,3.31108949,3.797155108,5.092361901,5.011640451,4.525546586,5.001894739,1.16717956,6.252793217
Austria,AUT,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,1.145600159,1.307550179,1.739720537,2.537792666,1.892161861,2.221175991,1.956320756,1.889266618,0.873054056,1.833409896
Azerbaijan,AZE,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,4.214386164,6.961465116,9.251965578,14.72349655,11.32918854,20.58248282,27.97103631,-18.89922838,13.8276656,24.60695003
Burundi,BDI,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,1.027858567,11.94574864,13.14615934,18.84158947,2.845666334,8.27337152,24.21579774,10.45879485,8.561551747,8.364247586
Belgium,BEL,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,1.679841676,1.962814203,1.980600515,2.136030909,2.309882953,2.007498028,1.915219077,0.778103162,1.883091286,2.001843725
Benin,BEN,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,3.553106878,3.06386771,0.77019549,4.293805217,2.091668629,0.390494254,6.438068579,2.53020605,0.884971821,3.733877525
Burkina Faso,BFA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,3.837945803,1.48477964,0.09062731,3.739396495,-0.662821135,0.994991923,7.639188433,2.405470435,6.806101001,6.705946363
Bangladesh,BGD,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,3.892867435,5.815816648,4.56213638,4.586360705,5.875935815,6.471260103,7.860966092,6.764354686,7.14464873,7.859446035
Bulgaria,BGR,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,3.773705853,2.271150183,5.659485096,6.511692512,6.741437635,11.09139848,8.129765514,4.047417475,1.107474183,5.978628166
Bahrain,BHR,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,3.56464237,8.444943699,10.99107672,13.7349923,8.842531381,8.435437003,11.36485349,-12.99375493,7.441014838,9.736421819
"Bahamas, The",BHS,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,3.960873783,1.154678348,1.194529963,5.056748709,0.827941837,2.947514507,1.488942038,-1.036553462,-0.3926783,-0.858336036
Bosnia and Herzegovina,BIH,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,4.459658512,0.912490962,8.44210973,-2.75755251,7.796786662,6.199116599,7.352765154,0.183703961,1.399781116,2.433092599
Belarus,BLR,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,44.89373887,30.6853215,22.67512245,18.9721606,10.74861564,12.87270229,21.21353617,9.258661838,14.09614493,66.83290804
Belize,BLZ,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,1.751555854,-2.860681045,2.06849136,2.680434814,4.478960696,4.845270171,2.733261323,-3.091030999,1.183538267,4.180858261
Bermuda,BMU,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,8.580442045,2.824739991,4.692143362,6.762373651,5.377171057,5.866405765,2.085337649,0.333664945,1.048907542,-0.032572528
Bolivia,BOL,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2.820758433,6.329991141,7.967709974,5.940795568,13.66367938,7.373355353,10.38118272,-2.419895917,8.777512449,14.60235035
Brazil,BRA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,9.798112239,14.09102152,7.752060761,7.431225467,6.774274099,6.439038091,8.778552726,7.313482736,8.423338328,8.318592219
Barbados,BRB,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,0.890324145,1.135019678,5.824462606,6.656921496,1.415125438,9.930500128,2.223029508,-2.440423231,0.847272524,2.220009934
Brunei Darussalam,BRN,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,0.374209529,6.104611064,15.88616466,18.76631914,10.04772148,1.120447694,12.69272996,-22.09141648,16.68828285,20.18050542
Bhutan,BTN,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,4.881217483,3.08507447,3.790932586,5.857933983,5.411194945,3.110660422,5.653072455,4.85125114,5.985510627,8.607164662
Botswana,BWA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,1.187370705,3.25908433,10.07878862,15.47170656,7.473131023,4.9276071,4.72939345,6.462525782,8.919999829,13.95812587
Central African Republic,CAF,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,-2.371881706,1.336418631,-4.439785938,4.188437082,3.334045939,1.83823165,7.077070724,0.711628391,4.211309311,4.009115057
Canada,CAN,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,1.244227585,3.255939918,3.280222606,3.147044049,2.613426177,3.31877548,4.004975858,-2.29424686,2.874062219,3.242049692
Central Europe and the Baltics,CEB,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,
Switzerland,CHE,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,-0.253624683,1.126917822,0.343441109,0.690188432,2.095783718,2.414661544,2.02727348,0.361845093,0.317189436,0.342286529
Channel Islands,CHI,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,4.382725567,4.353715494,3.797571335,2.504709657,3.278931607,3.336333251,,,,
