Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Aruba,ABW,"School enrollment, tertiary, female (% gross)",34.86563,31.94952,31.39241,31.28049,37.29265,36.58749,39.05361,40.73262,41.73998,43.9354,46.84075
Afghanistan,AFG,"School enrollment, tertiary, female (% gross)",,,0.51657,0.51396,,,,,1.41213,,1.82724
Angola,AGO,"School enrollment, tertiary, female (% gross)",,0.5643,,,,,,,,,3.32261
Albania,ALB,"School enrollment, tertiary, female (% gross)",19.04766,19.78476,20.32879,24.1045,27.35053,30.42745,35.46488,36.48628,38.66989,51.57109,58.23014
Andorra,AND,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Arab World,ARB,"School enrollment, tertiary, female (% gross)",17.46475029,18.54949951,19.05864906,20.07188988,21.42444992,22.31752968,22.52397919,24.21276093,24.90031052,25.58496,25.05767
United Arab Emirates,ARE,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Argentina,ARG,"School enrollment, tertiary, female (% gross)",69.8558,74.50172,77.94868,76.45075,75.46853,80.48403,79.81721,81.85146,84.18764,87.82828,92.92044
Armenia,ARM,"School enrollment, tertiary, female (% gross)",37.97737,41.08533,41.79188,44.16987,45.95116,49.05389,51.87726,54.46075,56.61935,58.03413,57.7082
American Samoa,ASM,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Antigua and Barbuda,ATG,"School enrollment, tertiary, female (% gross)",,,,,,,,,20.71307,24.15147,20.26235
Australia,AUS,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Austria,AUT,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Azerbaijan,AZE,"School enrollment, tertiary, female (% gross)",,,,,,20.24594,19.5503,18.87043,18.93108,19.15638,19.80818
Burundi,BDI,"School enrollment, tertiary, female (% gross)",0.64502,1.13658,,1.34849,1.35734,1.4933,,,,2.29263,1.94214
Belgium,BEL,"School enrollment, tertiary, female (% gross)",63.73563,64.58684,65.33017,67.14369,67.916,68.875,68.51352,69.47411,72.61032,75.92278,78.31387
Benin,BEN,"School enrollment, tertiary, female (% gross)",1.78047,,,,,3.32336,4.13256,4.35691,5.73935,7.18678,5.4883
Burkina Faso,BFA,"School enrollment, tertiary, female (% gross)",,0.72199,0.72272,,1.43041,1.52815,1.6304,2.09857,2.29505,2.30869,2.73884
Bangladesh,BGD,"School enrollment, tertiary, female (% gross)",4.59011,4.14112,4.17331,3.78948,4.39797,5.22811,5.62739,6.31145,8.11878,,11.19707
Bulgaria,BGR,"School enrollment, tertiary, female (% gross)",49.54827,45.45693,45.30781,46.11544,48.86338,52.13998,56.17958,59.30892,62.18039,66.09698,66.97068
Bahrain,BHR,"School enrollment, tertiary, female (% gross)",,,40.59675,,39.86463,38.32186,,,,,57.5012
"Bahamas, The",BHS,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Bosnia and Herzegovina,BIH,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Belarus,BLR,"School enrollment, tertiary, female (% gross)",65.84157,69.53142,73.11997,75.68182,78.37187,81.10433,84.4546,85.24425,89.1432,94.59196,101.8205
Belize,BLZ,"School enrollment, tertiary, female (% gross)",18.1911,20.71158,19.4279,18.58242,19.64816,21.31478,22.56836,23.5508,27.9654,26.86474,27.30625
Bermuda,BMU,"School enrollment, tertiary, female (% gross)",,,,,,40.22319,37.10145,35.39055,47.19807,41.37597,43.14968
Bolivia,BOL,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Brazil,BRA,"School enrollment, tertiary, female (% gross)",20.12967,23.47139,26.39838,27.52865,29.26808,,34.40194,40.17341,42.16417,,49.34314
Barbados,BRB,"School enrollment, tertiary, female (% gross)",57.0273,,,,,,81.60109,,104.26209,95.81395,90.57161
Brunei Darussalam,BRN,"School enrollment, tertiary, female (% gross)",17.05333,17.05947,17.91217,19.37466,19.3951,19.13672,19.5752,21.12547,21.67991,20.37801,22.48696
Bhutan,BTN,"School enrollment, tertiary, female (% gross)",,,,,3.74644,3.78741,3.96266,4.90635,4.94325,5.51626,7.36334
Botswana,BWA,"School enrollment, tertiary, female (% gross)",7.40639,8.0579,9.43485,9.44388,9.19283,9.68346,,,,,
Central African Republic,CAF,"School enrollment, tertiary, female (% gross)",,,,,,0.51262,,1.23658,1.54665,1.3082,
Canada,CAN,"School enrollment, tertiary, female (% gross)",,68.89677,,,,,73.95901,74.44554,73.92633,71.82283,73.63206
Central Europe and the Baltics,CEB,"School enrollment, tertiary, female (% gross)",49.40193176,53.69324875,57.70246124,61.74374008,66.08188629,69.6751709,73.22943115,77.50669098,79.85909271,81.28954,80.27775
Switzerland,CHE,"School enrollment, tertiary, female (% gross)",34.18686,35.72403,39.30223,41.33825,42.50475,44.00523,45.36828,48.61576,50.34146,52.65946,54.25391
Channel Islands,CHI,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
